bot	pubid	text	templateId	templateText	timestamp	error	userid	chat_id	etalon_text	algorithm	score	text_len	topic	jaccard	entrance	best_etalon	Decomposition
kuber	6	Добрый день.Подскажите пожалуста.У меня работник в отпуске по 28.12.2023 г включительно.Пришел написал заявление на увольнение.Каким числом я его должна уволить 28 или 29 декабря	590188	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.1kadry.ru/#/document/86/702463/actual/	2023-12-27T13:12:03.816						0.28886342048645	24	увольнение	0.0476190476190476	True	каким числом уволить работника если он направил заявление по почте	увольнение сотрудника после отпуска
kuber	220	Добрый день. Подскажите, что нужно делать, если сотрудник во время отпуска пошел на больничный ? Нужно ли отвечать на этот больничный?	517016	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/465218/actual/	2023-12-07T06:53:15.706						0.468482434749603	21	больничный	0.111111111111111	True	сотрудник пошел в отпуск , в отпуске на больничный	
kuber	9	Здравствуйте! Подскажите, пожалуйста, если сотрудник берет отпуск с последующим увольнением, то он же может не брать отпуск на все накопленные дни, а получить еще компенсацию за неотгул. отпуск в последний раб. день?	590152	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.1kadry.ru/#/document/12/510165/actual/	2024-01-23T13:23:57.931						0.237639501690865	32	отпуск	0.0526315789473684	True	сотрудник не берет отпуск перед увольнением	
kuber	9	Здравствуйте. Сотрудница работает внешним совместителем. У нее заканчивается больничный по беременности и родам 02.02.24. Пособие до 1,5 лет она будет оформлять по основному месту работы. Какие документы нужно оформить, чтобы отправить ее в отпуск до 1,5 без назначения пособия?	590052	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.1kadry.ru/#/document/86/702107/actual/	2024-01-31T10:12:03.217						0.384391933679581	39	увольнение	0	False	если работница увольняется имеет она право на пособие по беременности и родам	
kuber	220	Добрый день, подскажите если сотрудник уходит в отпуск января 2024 года. Устроился к нам 30.05.2013 года, какой период работы должен указан быть в приказе	585400	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/694201/actual/	2023-12-26T06:39:13.643						0.526748478412628	24	отпуск уход ребенок	0.05	False	как уйти в отпуск до 3 лет	
kuber	9	Добрый день, подскажите в отчете ЕФС-1 с подразделением 1.2(замена СЗВ-Стаж) должны указывать всех сотрудников или только у кого отпуск за свой счет, декретн,, вахтов. и т.д?	491181	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/523846/actual/	2024-01-23T07:42:22.996						0.113240957260132	26	отпуск	0.0434782608695652	True	как указывать отпуск за свой счет в сзв стаж	
kuber	6	Добрый день.Подскажите,пожалуйста. Сотрудница вышла в отпуск по уход.за ребенком до 1.5 лет, и сразу же вышла на работу на условиях неполного раб.времени с сохранением пособия. Как это отразить в СЗВ-СТАЖ? Код ДЕТИ не проставляем, верно? И нужно ли указать ставку 0,5?	513448	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://gosfinansy.ru/#/document/16/132263/actual/	2024-01-24T06:06:05.160						0.109147593379021	41	другой	0	False	расчет отпускных для сотрудниц находящихся в отпуске по уходу за ребенком до 1,5 лет и работающих на неполную ставку	
kuber	9	Доброго Дня! Сотрудник отработал 6 мес., у него наступает право на оплачиваемый отпуск. Обязан ли ИП предоставить отпуск за 12 мес. по просьбе сотрудника? Или может отказать и предоставить только за проработанное время? Спасибо.	444538	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/306489/actual/	2023-12-26T13:25:52.971		111	111111			0.597204804420471	34	отпуск	0.0476190476190476	True	сотрудник отработал полгода положен ли ему отпуск	
kuber	9	Добрый день! В какой срок и на какую дату нужно подать форму ЕФС-1 подраздел 1.2, до окончания отчетного периода, на сотрудницу которая подала заявление на отпуск по беременности и родам или по уходу за ребенком до 1,5 лет?	576858	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://gosfinansy.ru/#/document/16/143727/actual/	2024-01-25T14:22:00.698						0.22335496544838	38	отпуск	0.0416666666666667	True	уход сотрудницы из отпуска по уходу за ребенком в отпуск по беременности и родам	
kuber	9	Доброго Дня! ИП закрывает магазин и предлагает сотрудникам другие места работы - в другом магазине. Если кто-либо из сотрудников отказывается, то обязан ли ИП сделать какие-либо выплаты этому сотруднику в связи с сокращением, кроме компенсации за отпуск? Спасибо.	589919	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.1kadry.ru/#/document/12/509564/actual/	2023-12-26T13:25:41.125		111	111111			0.608613133430481	38	перевод	0	False	перевод сотрудника на другую должность в связи с сокращением	
kuber	220	Каким образом исчисляется средний заработок при начислении отпуска по уходу до 1,5 лет, в случае если сотрудница числилась у двух страхователей?	588757	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/145291/actual/	2023-12-13T11:33:28.814	502					0.821277022361755	21	средний заработок	0.125	True	в каких случаях применять оплату по среднему заработку	
kuber	6	Здравствуйте ! Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием? Если предоставляются , то они оплачиваемые или за свой счет ?	464122	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/410678/actual/	2024-01-09T05:23:29.868				дополнительный оплачиваемый отпуск в связи с бракосочетанием согласно коллективного договора	SbertT5	0.96893048286438	22	отпуск без сохранение зарплата	0.0625	False	дополнительный оплачиваемый отпуск в связи с бракосочетанием согласно коллективного договора	
kuber	8	Сотрудница после выхода из декретного отпуска вышла на полный рабочий день, соответственно заявление на пособие по уходу за ребенком до 1,5 лет не писала. В связи с изменениями в 2024 году сотрудница написала заявление на выплату данного пособия. Положено ли ей пособие по уходу за ребенком до 1,5 лет, если она работает на полной ставке и до сегодняшнего момента заявления не писала? Если она имеет право на данное, то как в данном случае необходимо оформить?	588144	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/697952/actual/	2024-01-23T13:14:03.341						0.880443453788757	75	пособие уход ребенок 1 5 год	0.153846153846154	True	заявление на пособие по уходу за ребенком до 1,5 лет	
kuber	8	у нас трудится внешний совместитель на 0,5 ставки. По основному месту работы он является директором в ООО, в котором деятельность пока не ведется, т.е. он находится в отпуске без сохранения зарплаты. В настоящее время он хочет перейти на полную ставку в нашей компании. Возможно ли это?	561546	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1cult.ru/#/document/86/648633/actual/	2024-01-19T06:47:29.426						0.923799455165863	46	совместитель	0.0277777777777778	True	Можно ли принять на 0,5 ставки внешнего совместителя, если в другой организации у него 1,5 ставки	
kuber	9	здравствуйте! подскажите пожалуйста Нужно  платить страховые взносы на травматизм с зарплаты и компенсации за не использованный отпуск умершему сотруднику. начисление после смерти сотрудника	503387	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://gosfinansy.ru/#/document/86/548566/actual/	2024-01-15T12:28:00.768						0.23650661110878	23	зарплата	0.0625	True	надо ли начислять страховые взносы на зарплату умершего сотрудника	
kuber	6	Здравствуйте. Сотрудница на момент выхода в отпуск по уходу за ребенком до 1,5 лет работала в двух организациях. Пособие выбрала получать в ИП, так как зп там была больше. Сегодня она планирует уволиться от ИП. Остаться в ООО и получать пособие от ООО. Но зарплата в ООО была меньше, чем в ИП. Поясните, как ФСС будет начислять пособие? Пособие станет меньше?	591002	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/704054/actual/	2024-02-08T08:22:14.674		19200565	0			0.201522246003151	61	пособие ипать	0.0555555555555556	False	может ли ип работать и получать пособия	
kuber	6	здравствуйте, подскажите, работник уходит в отпуск с 01 января 2024 года, а сумма отпускных начисляется и выплачивается 29 декабря 2023 года. С января новые оклады, по каким окладам считать???	419790	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://gosfinansy.ru/#/document/86/236487/actual/	2023-12-28T00:49:53.879						0.557312846183777	29	другой	0	False	как оплатить переходящий отпуск с декабря на январь следующего года	
